Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM3290077,0.0729517734067035,0,0.0348081675925698,0.0332390796768092,0,0.110202568507029,0,0,0,0,0.0296069605186875,0,0.0342122704156329,0.162939459993794,0.0121092440426229,0.142691743299522,0,0.0801396666639549,0.195392333808792,0,0,0.0917067320738827,0,0.315548140854449,0.952124808406191
GSM3290078,0.059927236093847,0,0.11434991582484,0.036094698436523,0,0.154093096926284,0.00277240967986598,0,0,0,0.00512931482867595,0,0.0130066544573883,0.0566916588918315,0.0110455354766383,0.217523585947695,0,0.0477725603790712,0.269344791773878,0,0,0.0122485412834619,0,0.434508941651774,0.90053027337031
GSM3290079,0.10482100033848,0,0.0842003596185456,0.0080085355669176,0,0.142966763588189,0,0,0,0.056474680185415,0.0358706517226651,0,0.0128010728554293,0.0302027135028118,0.0161985578593853,0.228250541314948,0,0.0637908011134084,0.121452264740142,0,0,0.0949620575936634,0,0.382521835284818,0.923083439570342
GSM3290080,0.0986819502174455,0,0.0650778558558996,0.0352939054343198,0,0.157544854495926,0,0,0,0,0.0344142683072348,0,0.0262499645113717,0.140231771004114,0.00728733213517824,0.168473781458785,0,0.0141165965075748,0.196164293552757,0,0,0.056463426519393,0,0.347136100757151,0.938563936350323
GSM3290081,0.112811224785587,0,0.0259903660730096,0.0443950103048274,0,0.145287968363715,0.00243835231470014,0,0,0,0.0369767079490086,0,0.0235470146406288,0.143083471580294,0.00444026482901083,0.187082088437292,0,0.10673307827911,0.0751507395431987,0,0,0.0920637128996182,0,0.256517326841938,0.976376789814008
GSM3290082,0.0835978128695832,0,0.0341240950819097,0.0503289581325365,0,0.122721742246436,0,0,0,0.013086067267253,0.0449371327780871,0,0.0114017532151125,0.127038155004233,0,0.228054700190179,0,0.123138086591389,0.13624924889193,0,0.0108333320546729,0.0144889156766779,0,0.376576654597281,0.925792577068783
GSM3290083,0.0801584366048798,0,0.0158907919212342,0.0475715310280044,0.0858533266458986,0.149302679769899,0.0238961575686458,0,0,0.0338585708866852,0.00120026811373528,0,0.0386225605591126,0,0.0766244633409127,0.216561312359457,0,0.033711505487857,0.0428361595968636,0,0,0.153912236116814,0,0.45355481164041,0.890997345127244
GSM3290084,0.0873241528646255,0,0.0243641684983652,0.040893242701597,0,0.0865907670150832,0,0,0,0,0.0296662337014006,0,0.0120055874671155,0.0670316254357333,0.0048860690732502,0.17623347581969,0,0.158320704848717,0.223721458931722,0,0.0142413866461253,0.0747211269965753,0,0.392499746076199,0.918954365905508
GSM3290085,0.078344643744723,0,0.0229932735721024,0.00337265694408558,0.01538440965123,0.281807516111667,0,0,0,0.0265938971152515,0.0132744309474341,0,0.0589338399207139,0,0.00591398225044055,0.202759974602745,0,0.0276971278468635,0.162981535711834,0,0,0.0999427115809092,0,0.356269156669016,0.934385851370294
GSM3290086,0.129431152262825,0,0.0417956363415185,0.0285019184628276,0,0.155251909503047,0,0,0,0,0.0608189935274456,0,0.0230948483190848,0.110165696130142,0,0.187395556779676,0,0.0610540367773547,0.0452930593622816,0.0168305719532985,0.0160289727003863,0.124337647880113,0,0.223047944952263,0.991078569497297
GSM3290087,0.0528917971736249,0,0.041915055626039,0.0687200394526781,0,0.125163388494279,0.000331866141475898,0,0,0,0.0120349656232209,0,0.00864837589434726,0.0983290322910009,0.0385616243855493,0.183268672134413,0,0.0258145274649315,0.335422315048632,0,0,0.00889834026980835,0,0.374922679653719,0.928257947578469
GSM3290088,0.0153699617841132,0,0.027833886016654,0.0567052473475457,0,0.0899456372878203,0.00287399904251047,0,0,0,0.0236496038037317,0,0.0298127209893801,0.235279371374496,0,0.215154318078899,0,0.0962644899624098,0.0373783243581872,0.032526843673715,0.024356651591683,0.112848944688854,0,0.380492484515228,0.927397696675625
GSM3290089,0.0767694537102763,0,0.0721872916927819,0.0645269126082647,0,0.147787333004058,0.000127646946603104,0,0,0.0357857215021193,0.0114585932579911,0,0.0043833506246246,0.0215120995931691,0.00920604608061682,0.189253771034118,0,0.0706331748900391,0.248587372681266,0,0,0.0477812323740713,0,0.392685898962579,0.918943458141944
